SESSION-CRYPTO FIELD TAINT V9
Parser output semantic fields established by v8: session algorithm presence/value @ +0x118/+0x11c; session key-length presence/value @ +0x120/+0x128.
Goal: find copies/consumers of this exact four-offset signature in networking code and connect it to P2P constructors.

=== CRYPTO PARSER ENTRY (confirm output pointer) 0x7c088e4-0x7c08980 ===
0x7c088e4: stp       x29, x30, [sp, #-0x60]!
0x7bfd468: sturb     w8, [x29, #-0x58]
0x7bfd46c: cbz       w9, #0x7bfd8f0
0x7bfd470: add       x0, sp, #0x260
0x7bfd474: mov       x1, x25
0x7bfd478: bl        #0x7c088e4
0x7bfd47c: mov       w21, w0
0x7bfd480: ldurb     w8, [x29, #-0x58]
0x7bfd484: ldp       w28, w27, [sp, #0x24]
0x7bfd488: ldr       w20, [sp, #0x100]
0x7bfd48c: ldr       x22, [sp, #0x18]
0x7bfd490: cbz       w8, #0x7bfd4a4
0x7bfd494: add       x0, sp, #0x260
0x7bfd498: mov       x1, x26
0x7bfd49c: bl        #0x7c088e4
0x7bfd4a0: orr       w21, w21, w0
0x7bfd4a4: mov       x0, x26
0x7bfd4a8: bl        #0x2f91730
0x7bfd4ac: mov       x0, x25
0x7bfd4b0: bl        #0x2f91730
0x7bfd4b4: ldr       w25, [sp, #0x14]
0x7bfd4b8: ldr       x26, [sp, #8]
0x7bfd4bc: tbz       w21, #0, #0x7bfd608
0x7bfd4c0: ldrb      w9, [sp, #0x260]
0x7bfd4c4: add       x8, sp, #0x260
0x7bfd4c8: ldr       x10, [sp, #0x268]
0x7bfd4cc: add       x22, x8, #0x118
0x7bfd4d0: ldrb      w11, [sp, #0x270]
0x7bfd4d4: add       x20, x19, #0x11c
0x7bfd4d8: ldr       x8, [sp, #0x278]
0x7bfd4dc: strb      w9, [sp, #0x130]
0x7bfd4e0: ldrb      w9, [sp, #0x280]
0x7bfd4e4: str       x10, [sp, #0x138]
0x7bfd4e8: ldr       w10, [sp, #0x284]
0x7bfd4ec: strb      w11, [sp, #0x140]
0x7bfd4f0: ldrb      w11, [sp, #0x288]
0x7bfd4f4: str       x8, [sp, #0x148]
0x7bfd4f8: ldr       w8, [sp, #0x28c]
0x7bfd4fc: strb      w9, [sp, #0x150]
0x7bfd500: ldrb      w9, [sp, #0x290]
0x7bfd504: str       w10, [sp, #0x154]
0x7bfd508: ldr       x10, [sp, #0x298]
0x7bfd50c: strb      w11, [sp, #0x158]
0x7bfd510: ldrb      w11, [sp, #0x2a0]
0x7bfd514: str       w8, [sp, #0x15c]
0x7bfd518: ldr       x8, [sp, #0x2a8]
0x7bfd51c: strb      w9, [sp, #0x160]
0x7bfd520: ldrb      w9, [sp, #0x2b0]
0x7bfd524: str       x10, [sp, #0x168]
0x7bfd528: ldr       x10, [sp, #0x2b8]
0x7bfd52c: strb      w11, [sp, #0x170]
0x7bfd530: ldrb      w11, [sp, #0x2c0]
0x7bfd534: str       x8, [sp, #0x178]
0x7bfd538: ldr       x8, [sp, #0x2c8]
0x7bfd53c: strb      w9, [sp, #0x180]
0x7bfd540: ldrb      w9, [sp, #0x2d0]
0x7bfd544: str       x10, [sp, #0x188]
0x7bfd548: ldr       x10, [sp, #0x2d8]
0x7bfd54c: strb      w11, [sp, #0x190]
0x7bfd550: ldrb      w11, [sp, #0x2e0]
0x7bfd554: str       x8, [sp, #0x198]
0x7bfd558: ldr       x8, [sp, #0x2e8]
0x7bfd55c: strb      w9, [sp, #0x1a0]
0x7bfd560: ldrb      w9, [sp, #0x2f0]
0x7bfd564: str       x10, [sp, #0x1a8]
0x7bfd568: ldr       x10, [sp, #0x2f8]
0x7bfd56c: strb      w11, [sp, #0x1b0]
0x7bfd570: ldrb      w11, [sp, #0x300]
0x7bfd574: str       x8, [sp, #0x1b8]
0x7bfd578: ldr       w8, [sp, #0x304]
0x7bfd57c: strb      w9, [sp, #0x1c0]
0x7bfd580: ldrb      w9, [sp, #0x308]
0x7bfd584: str       x10, [sp, #0x1c8]
0x7bfd588: ldr       x10, [sp, #0x310]
0x7bfd58c: strb      w11, [sp, #0x1d0]
0x7bfd590: ldrb      w11, [sp, #0x318]
0x7bfd594: str       w8, [sp, #0x1d4]
0x7bfd598: ldr       x8, [sp, #0x320]
0x7bfd59c: strb      w9, [sp, #0x1d8]
0x7bfd5a0: ldrb      w9, [sp, #0x328]
0x7bfd5a4: str       x10, [sp, #0x1e0]
0x7bfd5a8: ldr       w10, [sp, #0x32c]
0x7bfd5ac: strb      w11, [sp, #0x1e8]
0x7bfd5b0: ldrb      w11, [sp, #0x330]
0x7bfd5b4: str       x8, [sp, #0x1f0]
0x7bfd5b8: ldr       x8, [sp, #0x338]
0x7bfd5bc: strb      w9, [sp, #0x1f8]
0x7bfd5c0: ldrb      w9, [sp, #0x340]
0x7bfd5c4: str       w10, [sp, #0x1fc]
0x7bfd5c8: ldr       x10, [sp, #0x348]
0x7bfd5cc: strb      w11, [sp, #0x200]
0x7bfd5d0: ldrb      w11, [sp, #0x350]
0x7bfd5d4: str       x8, [sp, #0x208]
0x7bfd5d8: ldr       w8, [sp, #0x354]
0x7bfd5dc: strb      w9, [sp, #0x210]
0x7bfd5e0: ldrb      w9, [sp, #0x358]
0x7bfd5e4: add       x21, x19, #0x120
0x7bfd5e8: ldr       x24, [sp, #0x368]
0x7bfd5ec: add       x19, x19, #0x128
0x7bfd5f0: ldr       x1, [sp, #0x360]
0x7bfd5f4: str       x10, [sp, #0x218]
0x7bfd5f8: strb      w11, [sp, #0x220]
0x7bfd5fc: str       w8, [sp, #0x224]
0x7bfd600: strb      w9, [sp, #0x228]
0x7bfd604: b         #0x7bfd734
0x7bfd608: ldr       w8, [sp, #0x104]
0x7bfd60c: cbz       w8, #0x7bfd8e4
0x7bfd610: ldr       w8, [sp, #0xf8]
0x7bfd614: strb      w20, [sp, #0x130]
0x7bfd618: add       x20, sp, #0x124
0x7bfd61c: str       x22, [sp, #0x138]
0x7bfd620: add       x21, sp, #0x120
0x7bfd624: add       x19, sp, #0x118
0x7bfd628: strb      w8, [sp, #0x150]
0x7bfd62c: ldr       w8, [sp, #0xf4]
0x7bfd630: add       x22, sp, #0x128
0x7bfd634: mov       x1, x23
0x7bfd638: strb      w25, [sp, #0x140]
0x7bfd63c: str       w8, [sp, #0x154]
0x7bfd640: ldr       w8, [sp, #0xf0]
0x7bfd644: str       x26, [sp, #0x148]
0x7bfd648: str       w27, [sp, #0x224]
0x7bfd64c: strb      w8, [sp, #0x158]
0x7bfd650: ldr       w8, [sp, #0xec]
0x7bfd654: strb      w28, [sp, #0x228]
0x7bfd658: str       w8, [sp, #0x15c]
0x7bfd65c: ldr       w8, [sp, #0xe8]
0x7bfd660: strb      w8, [sp, #0x160]
0x7bfd664: ldr       x8, [sp, #0xe0]
0x7bfd668: str       x8, [sp, #0x168]
0x7bfd66c: ldr       w8, [sp, #0xdc]
0x7bfd670: strb      w8, [sp, #0x170]
0x7bfd674: ldr       x8, [sp, #0xd0]
0x7bfd678: str       x8, [sp, #0x178]
0x7bfd67c: ldr       w8, [sp, #0xcc]
0x7bfd680: strb      w8, [sp, #0x180]
0x7bfd684: ldr       x8, [sp, #0xc0]
0x7bfd688: str       x8, [sp, #0x188]
0x7bfd68c: ldr       w8, [sp, #0xbc]
0x7bfd690: strb      w8, [sp, #0x190]
0x7bfd694: ldr       x8, [sp, #0xb0]
0x7bfd698: str       x8, [sp, #0x198]
0x7bfd69c: ldr       w8, [sp, #0xac]
0x7bfd6a0: strb      w8, [sp, #0x1a0]
0x7bfd6a4: ldr       x8, [sp, #0xa0]
0x7bfd6a8: str       x8, [sp, #0x1a8]
0x7bfd6ac: ldr       w8, [sp, #0x9c]
0x7bfd6b0: strb      w8, [sp, #0x1b0]
0x7bfd6b4: ldr       x8, [sp, #0x90]
0x7bfd6b8: str       x8, [sp, #0x1b8]
0x7bfd6bc: ldr       w8, [sp, #0x8c]
0x7bfd6c0: strb      w8, [sp, #0x1c0]
0x7bfd6c4: ldr       x8, [sp, #0x80]
0x7bfd6c8: str       x8, [sp, #0x1c8]
0x7bfd6cc: ldr       w8, [sp, #0x7c]
0x7bfd6d0: strb      w8, [sp, #0x1d0]
0x7bfd6d4: ldr       w8, [sp, #0x78]
0x7bfd6d8: str       w8, [sp, #0x1d4]
0x7bfd6dc: ldr       w8, [sp, #0x74]
0x7bfd6e0: strb      w8, [sp, #0x1d8]
0x7bfd6e4: ldr       x8, [sp, #0x68]
0x7bfd6e8: str       x8, [sp, #0x1e0]
0x7bfd6ec: ldr       w8, [sp, #0x64]
0x7bfd6f0: strb      w8, [sp, #0x1e8]
0x7bfd6f4: ldr       x8, [sp, #0x58]
0x7bfd6f8: str       x8, [sp, #0x1f0]
0x7bfd6fc: ldr       w8, [sp, #0x54]
0x7bfd700: strb      w8, [sp, #0x1f8]
0x7bfd704: ldr       w8, [sp, #0x50]
0x7bfd708: str       w8, [sp, #0x1fc]
0x7bfd70c: ldr       w8, [sp, #0x4c]
0x7bfd710: strb      w8, [sp, #0x200]
0x7bfd714: ldr       x8, [sp, #0x40]
0x7bfd718: str       x8, [sp, #0x208]
0x7bfd71c: ldr       w8, [sp, #0x3c]
0x7bfd720: strb      w8, [sp, #0x210]
0x7bfd724: ldr       x8, [sp, #0x30]
0x7bfd728: str       x8, [sp, #0x218]
0x7bfd72c: ldr       w8, [sp, #0x2c]
0x7bfd730: strb      w8, [sp, #0x220]
0x7bfd734: add       x8, sp, #0x130
0x7bfd738: mov       x2, x24
0x7bfd73c: add       x0, x8, #0x100
0x7bfd740: bl        #0x691d118
0x7bfd744: ldrb      w8, [x22]
0x7bfd748: ldr       w9, [x20]
0x7bfd74c: ldrb      w10, [x21]
0x7bfd750: ldr       x11, [x19]
0x7bfd754: mov       w19, #1
0x7bfd758: strb      w8, [sp, #0x248]
0x7bfd75c: str       w9, [sp, #0x24c]
0x7bfd760: strb      w10, [sp, #0x250]
0x7bfd764: str       x11, [sp, #0x258]
0x7bfd768: cbz       x23, #0x7bfd774
0x7bfd76c: mov       x0, x23
0x7bfd770: bl        #0x2efa56c
0x7bfd774: ldr       x0, [sp, #0x360]
0x7bfd778: cbz       x0, #0x7bfd784
0x7bfd77c: str       x0, [sp, #0x368]

=== PROFILE LOADER RESULT CONSTRUCTION TAIL 0x7bfd700-0x7bfdbf4 ===
0x7bfd700: strb      w8, [sp, #0x1f8]
0x7bfd704: ldr       w8, [sp, #0x50]
0x7bfd708: str       w8, [sp, #0x1fc]
0x7bfd70c: ldr       w8, [sp, #0x4c]
0x7bfd710: strb      w8, [sp, #0x200]
0x7bfd714: ldr       x8, [sp, #0x40]
0x7bfd718: str       x8, [sp, #0x208]
0x7bfd71c: ldr       w8, [sp, #0x3c]
0x7bfd720: strb      w8, [sp, #0x210]
0x7bfd724: ldr       x8, [sp, #0x30]
0x7bfd728: str       x8, [sp, #0x218]
0x7bfd72c: ldr       w8, [sp, #0x2c]
0x7bfd730: strb      w8, [sp, #0x220]
0x7bfd734: add       x8, sp, #0x130
0x7bfd738: mov       x2, x24
0x7bfd73c: add       x0, x8, #0x100
0x7bfd740: bl        #0x691d118
0x7bfd744: ldrb      w8, [x22]
0x7bfd748: ldr       w9, [x20]
0x7bfd74c: ldrb      w10, [x21]
0x7bfd750: ldr       x11, [x19]
0x7bfd754: mov       w19, #1
0x7bfd758: strb      w8, [sp, #0x248]
0x7bfd75c: str       w9, [sp, #0x24c]
0x7bfd760: strb      w10, [sp, #0x250]
0x7bfd764: str       x11, [sp, #0x258]
0x7bfd768: cbz       x23, #0x7bfd774
0x7bfd76c: mov       x0, x23
0x7bfd770: bl        #0x2efa56c
0x7bfd774: ldr       x0, [sp, #0x360]
0x7bfd778: cbz       x0, #0x7bfd784
0x7bfd77c: str       x0, [sp, #0x368]
0x7bfd780: bl        #0x2efa56c
0x7bfd784: tbz       w19, #0, #0x7bfd868
0x7bfd788: ldr       w8, [sp, #0xfc]
0x7bfd78c: tbz       w8, #0, #0x7bfd9fc
0x7bfd790: mov       w0, #0x100
0x7bfd794: mov       w1, wzr
0x7bfd798: bl        #0x2efa4dc
0x7bfd79c: adrp      x8, #0xc8e000
0x7bfd7a0: add       x8, x8, #0xdf7
0x7bfd7a4: mov       x20, x0
0x7bfd7a8: mov       w1, wzr
0x7bfd7ac: ldp       q0, q1, [x8, #0xc0]
0x7bfd7b0: ldp       q2, q3, [x8, #0xe0]
0x7bfd7b4: stp       q0, q1, [x0, #0xc0]
0x7bfd7b8: ldp       q0, q1, [x8, #0x80]
0x7bfd7bc: stp       q2, q3, [x0, #0xe0]
0x7bfd7c0: ldp       q2, q3, [x8, #0xa0]
0x7bfd7c4: stp       q0, q1, [x0, #0x80]
0x7bfd7c8: ldp       q0, q1, [x8, #0x40]
0x7bfd7cc: stp       q2, q3, [x0, #0xa0]
0x7bfd7d0: ldp       q2, q3, [x8, #0x60]
0x7bfd7d4: stp       q0, q1, [x0, #0x40]
0x7bfd7d8: ldp       q0, q1, [x8]
0x7bfd7dc: stp       q2, q3, [x0, #0x60]
0x7bfd7e0: ldp       q2, q3, [x8, #0x20]
0x7bfd7e4: stp       q0, q1, [x0]
0x7bfd7e8: stp       q2, q3, [x0, #0x20]
0x7bfd7ec: mov       w0, #0x100
0x7bfd7f0: bl        #0x2efa4dc
0x7bfd7f4: mov       x21, x0
0x7bfd7f8: sub       x8, x0, x20
0x7bfd7fc: cmp       x8, #0x1f
0x7bfd800: b.hi      #0x7bfd908
0x7bfd804: mov       x8, xzr
0x7bfd808: ldrb      w9, [x20, x8]
0x7bfd80c: strb      w9, [x21, x8]
0x7bfd810: add       x8, x8, #1
0x7bfd814: cmp       x8, #0x100
0x7bfd818: b.ne      #0x7bfd808
0x7bfd81c: add       x8, x21, x8
0x7bfd820: sub       x19, x8, #1
0x7bfd824: subs      x23, x8, x21
0x7bfd828: b.eq      #0x7bfd958
0x7bfd82c: tbnz      x23, #0x3f, #0x7bfdbe0
0x7bfd830: mov       x0, x23
0x7bfd834: mov       w1, wzr
0x7bfd838: bl        #0x2efa4dc
0x7bfd83c: mov       x22, x0
0x7bfd840: sub       x8, x0, x21
0x7bfd844: cmp       x8, #0x1f
0x7bfd848: b.hi      #0x7bfd978
0x7bfd84c: sub       x8, x21, #1
0x7bfd850: mov       x24, x22
0x7bfd854: ldrb      w9, [x8, #1]!
0x7bfd858: cmp       x8, x19
0x7bfd85c: strb      w9, [x24], #1
0x7bfd860: b.ne      #0x7bfd854
0x7bfd864: b         #0x7bfd9bc
0x7bfd868: mov       w0, #0x148
0x7bfd86c: bl        #0x8b35260
0x7bfd870: adrp      x8, #0x98dd000
0x7bfd874: mov       x20, x0
0x7bfd878: movi      v0.2d, #0000000000000000
0x7bfd87c: ldr       x8, [x8, #0xc10]
0x7bfd880: strb      wzr, [x0, #8]
0x7bfd884: stur      q0, [x0, #0xf8]
0x7bfd888: add       x8, x8, #0x10
0x7bfd88c: stur      q0, [x0, #0x28]
0x7bfd890: stur      q0, [x0, #0x38]
0x7bfd894: stur      q0, [x0, #0x48]
0x7bfd898: str       x8, [x0]
0x7bfd89c: mov       x8, x0
0x7bfd8a0: stur      q0, [x0, #0x58]
0x7bfd8a4: stur      q0, [x0, #0x68]
0x7bfd8a8: strb      wzr, [x8, #0x10]!
0x7bfd8ac: stur      q0, [x8, #0xf1]
0x7bfd8b0: mov       x8, x0
0x7bfd8b4: stur      q0, [x0, #0x78]
0x7bfd8b8: stur      q0, [x0, #0x88]
0x7bfd8bc: stur      q0, [x0, #0x98]
0x7bfd8c0: stur      q0, [x0, #0xa8]
0x7bfd8c4: stur      q0, [x0, #0xb8]
0x7bfd8c8: stur      q0, [x0, #0xc8]
0x7bfd8cc: stur      q0, [x0, #0xd8]
0x7bfd8d0: stur      q0, [x0, #0xe8]
0x7bfd8d4: str       q0, [x8, #0x18]!
0x7bfd8d8: stp       q0, q0, [x8, #0x110]
0x7bfd8dc: str       q0, [x8, #0x100]
0x7bfd8e0: b         #0x7bfdb6c
0x7bfd8e4: mov       w19, wzr
0x7bfd8e8: cbnz      x23, #0x7bfd76c
0x7bfd8ec: b         #0x7bfd774
0x7bfd8f0: mov       w21, wzr
0x7bfd8f4: ldp       w28, w27, [sp, #0x24]
0x7bfd8f8: ldr       w20, [sp, #0x100]
0x7bfd8fc: ldr       x22, [sp, #0x18]
0x7bfd900: cbnz      w8, #0x7bfd494
0x7bfd904: b         #0x7bfd4a4
0x7bfd908: ldp       q0, q1, [x20]
0x7bfd90c: add       x8, x21, #0x100
0x7bfd910: add       x19, x21, #0xff
0x7bfd914: stp       q0, q1, [x21]
0x7bfd918: ldp       q0, q1, [x20, #0x20]
0x7bfd91c: stp       q0, q1, [x21, #0x20]
0x7bfd920: ldp       q0, q1, [x20, #0x40]
0x7bfd924: stp       q0, q1, [x21, #0x40]
0x7bfd928: ldp       q0, q1, [x20, #0x60]
0x7bfd92c: stp       q0, q1, [x21, #0x60]
0x7bfd930: ldp       q0, q1, [x20, #0x80]
0x7bfd934: stp       q0, q1, [x21, #0x80]
0x7bfd938: ldp       q0, q1, [x20, #0xa0]
0x7bfd93c: stp       q0, q1, [x21, #0xa0]
0x7bfd940: ldp       q0, q1, [x20, #0xc0]
0x7bfd944: stp       q0, q1, [x21, #0xc0]
0x7bfd948: ldp       q0, q1, [x20, #0xe0]
0x7bfd94c: stp       q0, q1, [x21, #0xe0]
0x7bfd950: subs      x23, x8, x21
0x7bfd954: b.ne      #0x7bfd82c
0x7bfd958: mov       x19, xzr
0x7bfd95c: mov       x24, xzr
0x7bfd960: mov       x22, xzr
0x7bfd964: mov       w8, #1
0x7bfd968: ldr       x0, [sp, #0x230]
0x7bfd96c: strb      w8, [sp, #0x228]
0x7bfd970: cbnz      x0, #0x7bfd9d0
0x7bfd974: b         #0x7bfd9d8
0x7bfd978: ldp       q0, q1, [x21]
0x7bfd97c: add       x24, x22, #0x100
0x7bfd980: stp       q0, q1, [x22]
0x7bfd984: ldp       q0, q1, [x21, #0x20]
0x7bfd988: stp       q0, q1, [x22, #0x20]
0x7bfd98c: ldp       q0, q1, [x21, #0x40]
0x7bfd990: stp       q0, q1, [x22, #0x40]
0x7bfd994: ldp       q0, q1, [x21, #0x60]
0x7bfd998: stp       q0, q1, [x22, #0x60]
0x7bfd99c: ldp       q0, q1, [x21, #0x80]
0x7bfd9a0: stp       q0, q1, [x22, #0x80]
0x7bfd9a4: ldp       q0, q1, [x21, #0xa0]
0x7bfd9a8: stp       q0, q1, [x22, #0xa0]
0x7bfd9ac: ldp       q0, q1, [x21, #0xc0]
0x7bfd9b0: stp       q0, q1, [x22, #0xc0]
0x7bfd9b4: ldp       q0, q1, [x21, #0xe0]
0x7bfd9b8: stp       q0, q1, [x22, #0xe0]
0x7bfd9bc: add       x19, x22, x23
0x7bfd9c0: mov       w8, #1
0x7bfd9c4: ldr       x0, [sp, #0x230]
0x7bfd9c8: strb      w8, [sp, #0x228]
0x7bfd9cc: cbz       x0, #0x7bfd9d8
0x7bfd9d0: str       x0, [sp, #0x238]
0x7bfd9d4: bl        #0x2efa56c
0x7bfd9d8: str       x22, [sp, #0x230]
0x7bfd9dc: str       x24, [sp, #0x238]
0x7bfd9e0: str       x19, [sp, #0x240]
0x7bfd9e4: cbz       x21, #0x7bfd9f0
0x7bfd9e8: mov       x0, x21
0x7bfd9ec: bl        #0x2efa56c
0x7bfd9f0: cbz       x20, #0x7bfd9fc
0x7bfd9f4: mov       x0, x20
0x7bfd9f8: bl        #0x2efa56c
0x7bfd9fc: mov       w0, #0x148
0x7bfda00: bl        #0x8b35260
0x7bfda04: add       x8, sp, #0x130
0x7bfda08: mov       w9, #1
0x7bfda0c: mov       x20, x0
0x7bfda10: ldp       q0, q1, [x8, #0xc0]
0x7bfda14: stur      q0, [x0, #0xd8]
0x7bfda18: stur      q1, [x0, #0xe8]
0x7bfda1c: ldr       q2, [x8, #0xe0]
0x7bfda20: ldp       q0, q1, [x8, #0x80]
0x7bfda24: stur      q2, [x0, #0xf8]
0x7bfda28: stur      q0, [x0, #0x98]
0x7bfda2c: ldp       q2, q3, [x8, #0xa0]
0x7bfda30: stur      q1, [x0, #0xa8]
0x7bfda34: stur      q2, [x0, #0xb8]
0x7bfda38: ldp       q0, q1, [sp, #0x170]
0x7bfda3c: stur      q3, [x0, #0xc8]
0x7bfda40: stur      q0, [x0, #0x58]
0x7bfda44: ldr       q2, [sp, #0x190]
0x7bfda48: stur      q1, [x0, #0x68]
0x7bfda4c: ldr       q4, [x8, #0x70]
0x7bfda50: adrp      x8, #0x98dd000
0x7bfda54: ldp       q0, q1, [sp, #0x130]
0x7bfda58: stur      q2, [x0, #0x78]
0x7bfda5c: ldr       x8, [x8, #0xc10]
0x7bfda60: stur      q0, [x0, #0x18]
0x7bfda64: stur      q1, [x0, #0x28]
0x7bfda68: ldr       x10, [sp, #0x220]
0x7bfda6c: ldp       q0, q1, [sp, #0x150]
0x7bfda70: add       x8, x8, #0x10
0x7bfda74: strb      w9, [x0, #0x10]
0x7bfda78: stur      q4, [x0, #0x88]
0x7bfda7c: str       x10, [x0, #0x108]
0x7bfda80: str       x8, [x0]
0x7bfda84: stur      q0, [x0, #0x38]
0x7bfda88: ldrb      w8, [sp, #0x228]
0x7bfda8c: strb      wzr, [x0, #8]
0x7bfda90: ldr       x9, [sp, #0x238]
0x7bfda94: stur      q1, [x0, #0x48]
0x7bfda98: stp       xzr, xzr, [x0, #0x120]
0x7bfda9c: strb      w8, [x0, #0x110]
0x7bfdaa0: ldr       x8, [sp, #0x230]
0x7bfdaa4: str       xzr, [x0, #0x118]
0x7bfdaa8: subs      x21, x9, x8
0x7bfdaac: b.eq      #0x7bfdb54
0x7bfdab0: tbnz      x21, #0x3f, #0x7bfdbdc
0x7bfdab4: mov       x0, x21
0x7bfdab8: mov       w1, wzr
0x7bfdabc: bl        #0x2efa4dc
0x7bfdac0: ldr       x10, [sp, #0x230]
0x7bfdac4: add       x9, x0, x21
0x7bfdac8: ldr       x8, [sp, #0x238]
0x7bfdacc: str       x0, [x20, #0x118]
0x7bfdad0: str       x9, [x20, #0x128]
0x7bfdad4: cmp       x10, x8
0x7bfdad8: b.eq      #0x7bfdb4c
0x7bfdadc: sub       x11, x8, x10
0x7bfdae0: cmp       x11, #0x20
0x7bfdae4: b.lo      #0x7bfdb34
0x7bfdae8: sub       x9, x0, x10
0x7bfdaec: cmp       x9, #0x20
0x7bfdaf0: b.lo      #0x7bfdb34
0x7bfdaf4: and       x12, x11, #0xffffffffffffffe0
0x7bfdaf8: add       x14, x0, #0x10
0x7bfdafc: add       x13, x10, x12
0x7bfdb00: add       x9, x0, x12
0x7bfdb04: add       x10, x10, #0x10
0x7bfdb08: mov       x15, x12
0x7bfdb0c: ldp       q0, q1, [x10, #-0x10]
0x7bfdb10: add       x10, x10, #0x20
0x7bfdb14: subs      x15, x15, #0x20
0x7bfdb18: stp       q0, q1, [x14, #-0x10]
0x7bfdb1c: add       x14, x14, #0x20
0x7bfdb20: b.ne      #0x7bfdb0c
0x7bfdb24: mov       x10, x13
0x7bfdb28: mov       x0, x9
0x7bfdb2c: cmp       x11, x12
0x7bfdb30: b.eq      #0x7bfdb50
0x7bfdb34: mov       x9, x0
0x7bfdb38: ldrb      w11, [x10], #1
0x7bfdb3c: cmp       x10, x8
0x7bfdb40: strb      w11, [x9], #1
0x7bfdb44: b.ne      #0x7bfdb38
0x7bfdb48: b         #0x7bfdb50
0x7bfdb4c: mov       x9, x0
0x7bfdb50: str       x9, [x20, #0x120]
0x7bfdb54: add       x8, sp, #0x130
0x7bfdb58: ldr       x9, [sp, #0x258]
0x7bfdb5c: add       x8, x8, #0x118
0x7bfdb60: str       x9, [x20, #0x140]
0x7bfdb64: ldr       q0, [x8]
0x7bfdb68: str       q0, [x20, #0x130]
0x7bfdb6c: ldr       x19, [sp, #0x108]
0x7bfdb70: mov       w0, #0x20
